0.0	0.0	0.0
0.12	0.12	0.12
0.5	0.5	0.5
1.0	1.0	1.0
1.0	0.3	0.3
1.0	0.0	0.0
0.35	0.0	0.0
0.1	0.0	0.0
1.0	0.74	0.42
1.0	0.33	0.0
0.35	0.11	0.0
0.15	0.11	0.0
1.0	1.0	0.3
1.0	1.0	0.0
0.35	0.35	0.0
0.1	0.1	0.0
0.53	1.0	0.3
0.33	1.0	0.0
0.11	0.35	0.0
0.08	0.17	0.0
0.3	1.0	0.3
0.0	1.0	0.0
0.0	0.35	0.0
0.0	0.1	0.0
0.3	1.0	0.37
0.0	1.0	0.1
0.0	0.35	0.05
0.0	0.1	0.01
0.3	1.0	0.53
0.0	1.0	0.33
0.0	0.35	0.11
0.0	0.12	0.07
0.3	1.0	0.72
0.0	1.0	0.6
0.0	0.35	0.21
0.0	0.1	0.07
0.3	0.76	1.0
0.0	0.66	1.0
0.0	0.25	0.32
0.0	0.06	0.1
0.3	0.53	1.0
0.0	0.33	1.0
0.0	0.11	0.35
0.0	0.03	0.1
0.3	0.3	1.0
0.0	0.0	1.0
0.0	0.0	0.35
0.0	0.0	0.1
0.53	0.3	1.0
0.33	0.0	1.0
0.1	0.0	0.39
0.06	0.0	0.19
1.0	0.3	1.0
1.0	0.0	1.0
0.35	0.0	0.35
0.1	0.0	0.1
1.0	0.3	0.53
1.0	0.0	0.33
0.35	0.0	0.11
0.13	0.0	0.07
1.0	0.08	0.0
0.6	0.21	0.0
0.47	0.32	0.0
0.26	0.39	0.0
0.01	0.22	0.0
0.0	0.34	0.21
0.0	0.33	0.5
0.0	0.0	1.0
0.0	0.27	0.31
0.15	0.0	0.8
0.5	0.5	0.5
0.13	0.13	0.13
1.0	0.0	0.0
0.74	1.0	0.18
0.69	0.93	0.02
0.39	1.0	0.04
0.06	0.55	0.0
0.0	1.0	0.53
0.0	0.66	1.0
0.0	0.16	1.0
0.25	0.0	1.0
0.48	0.0	1.0
0.7	0.1	0.49
0.25	0.13	0.0
1.0	0.29	0.0
0.53	0.88	0.02
0.45	1.0	0.08
0.0	1.0	0.0
0.23	1.0	0.15
0.35	1.0	0.44
0.22	1.0	0.8
0.36	0.54	1.0
0.19	0.32	0.78
0.53	0.5	0.91
0.83	0.11	1.0
1.0	0.0	0.36
1.0	0.5	0.0
0.73	0.69	0.0
0.56	1.0	0.0
0.51	0.36	0.03
0.22	0.17	0.0
0.08	0.3	0.06
0.05	0.31	0.22
0.08	0.08	0.16
0.09	0.13	0.35
0.41	0.24	0.11
0.66	0.0	0.04
0.87	0.32	0.24
0.85	0.42	0.11
1.0	0.88	0.15
0.62	0.88	0.18
0.4	0.71	0.06
0.12	0.12	0.19
0.86	1.0	0.42
0.5	1.0	0.74
0.6	0.6	1.0
0.56	0.4	1.0
0.25	0.25	0.25
0.46	0.46	0.46
0.88	1.0	1.0
0.63	0.0	0.0
0.21	0.0	0.0
0.1	0.82	0.0
0.03	0.26	0.0
0.73	0.69	0.0
0.25	0.19	0.0
0.7	0.37	0.0
0.29	0.08	0.01
